Analysis_name	nb_genomes	genomes	id %	evalue	cover %	cliques_number	commentary
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.1_cover%_50/	21	['Shigella_flexneri_2a_str_2457t', 'Escherichia_coli_55989', 'Shigella_boydii_sb227', 'Escherichia_coli_cft073', 'Escherichia_coli_s88', 'Escherichia_coli_uti89', 'Shigella_sonnei_ss046', 'Escherichia_coli_str_k_12_substr_w3110', 'Escherichia_coli_ed1a', 'Escherichia_coli_iai39', 'Shigella_flexneri_5_str_8401', 'Escherichia_fergusonii_atcc_35469', 'Shigella_dysenteriae_sd197', 'Escherichia_coli_o157_h7_str_sakai', 'Escherichia_coli_umn026', 'Escherichia_coli_iai1', 'Escherichia_coli_str_k_12_substr_mg1655', 'Escherichia_coli_apec_o1', 'Escherichia_coli_536', 'Shigella_flexneri_2a_str_301', 'Escherichia_coli_o157_h7_str_edl933']	60	0.1	50	2347	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.1_cover%_60/	21	['Shigella_flexneri_2a_str_301', 'Escherichia_coli_55989', 'Escherichia_coli_uti89', 'Escherichia_coli_cft073', 'Escherichia_coli_ed1a', 'Escherichia_coli_536', 'Shigella_flexneri_5_str_8401', 'Escherichia_coli_iai39', 'Escherichia_coli_iai1', 'Shigella_dysenteriae_sd197', 'Escherichia_coli_s88', 'Escherichia_fergusonii_atcc_35469', 'Escherichia_coli_umn026', 'Shigella_sonnei_ss046', 'Escherichia_coli_o157_h7_str_sakai', 'Escherichia_coli_o157_h7_str_edl933', 'Shigella_boydii_sb227', 'Shigella_flexneri_2a_str_2457t', 'Escherichia_coli_str_k_12_substr_w3110', 'Escherichia_coli_apec_o1', 'Escherichia_coli_str_k_12_substr_mg1655']	60	0.1	60	2216	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.1_cover%_70/	21	['Shigella_flexneri_5_str_8401', 'Escherichia_coli_umn026', 'Shigella_sonnei_ss046', 'Escherichia_coli_uti89', 'Escherichia_fergusonii_atcc_35469', 'Escherichia_coli_ed1a', 'Escherichia_coli_iai1', 'Shigella_dysenteriae_sd197', 'Escherichia_coli_iai39', 'Shigella_boydii_sb227', 'Escherichia_coli_str_k_12_substr_mg1655', 'Escherichia_coli_55989', 'Escherichia_coli_apec_o1', 'Escherichia_coli_o157_h7_str_sakai', 'Shigella_flexneri_2a_str_301', 'Escherichia_coli_536', 'Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_str_k_12_substr_w3110', 'Escherichia_coli_cft073', 'Escherichia_coli_s88', 'Shigella_flexneri_2a_str_2457t']	60	0.1	70	2060	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.1_cover%_80/	21	['Shigella_flexneri_2a_str_2457t', 'Shigella_flexneri_5_str_8401', 'Shigella_flexneri_2a_str_301', 'Shigella_dysenteriae_sd197', 'Escherichia_coli_cft073', 'Escherichia_coli_str_k_12_substr_mg1655', 'Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_s88', 'Escherichia_coli_ed1a', 'Escherichia_coli_iai1', 'Shigella_sonnei_ss046', 'Escherichia_coli_uti89', 'Escherichia_coli_536', 'Escherichia_coli_apec_o1', 'Escherichia_coli_55989', 'Escherichia_fergusonii_atcc_35469', 'Escherichia_coli_str_k_12_substr_w3110', 'Escherichia_coli_iai39', 'Shigella_boydii_sb227', 'Escherichia_coli_o157_h7_str_sakai', 'Escherichia_coli_umn026']	60	0.1	80	1906	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.1_cover%_90/	21	['Shigella_flexneri_2a_str_301', 'Escherichia_coli_536', 'Escherichia_coli_iai39', 'Shigella_sonnei_ss046', 'Escherichia_coli_o157_h7_str_sakai', 'Escherichia_coli_ed1a', 'Shigella_boydii_sb227', 'Shigella_dysenteriae_sd197', 'Escherichia_coli_apec_o1', 'Escherichia_coli_s88', 'Escherichia_coli_umn026', 'Escherichia_fergusonii_atcc_35469', 'Shigella_flexneri_2a_str_2457t', 'Escherichia_coli_55989', 'Shigella_flexneri_5_str_8401', 'Escherichia_coli_uti89', 'Escherichia_coli_str_k_12_substr_w3110', 'Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_str_k_12_substr_mg1655', 'Escherichia_coli_cft073', 'Escherichia_coli_iai1']	60	0.1	90	1652	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.05_cover%_50/	21	['Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_uti89', 'Escherichia_coli_iai39', 'Escherichia_coli_55989', 'Shigella_dysenteriae_sd197', 'Shigella_flexneri_2a_str_2457t', 'Escherichia_fergusonii_atcc_35469', 'Shigella_flexneri_5_str_8401', 'Escherichia_coli_apec_o1', 'Shigella_sonnei_ss046', 'Escherichia_coli_iai1', 'Escherichia_coli_ed1a', 'Escherichia_coli_s88', 'Escherichia_coli_umn026', 'Escherichia_coli_str_k_12_substr_mg1655', 'Shigella_flexneri_2a_str_301', 'Escherichia_coli_cft073', 'Escherichia_coli_str_k_12_substr_w3110', 'Shigella_boydii_sb227', 'Escherichia_coli_536', 'Escherichia_coli_o157_h7_str_sakai']	60	0.05	50	2355	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.05_cover%_60/	21	['Escherichia_coli_str_k_12_substr_mg1655', 'Escherichia_coli_55989', 'Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_str_k_12_substr_w3110', 'Escherichia_coli_umn026', 'Escherichia_coli_iai39', 'Escherichia_coli_ed1a', 'Shigella_sonnei_ss046', 'Escherichia_coli_cft073', 'Shigella_flexneri_2a_str_301', 'Escherichia_coli_apec_o1', 'Shigella_flexneri_5_str_8401', 'Escherichia_coli_uti89', 'Escherichia_coli_s88', 'Shigella_dysenteriae_sd197', 'Shigella_boydii_sb227', 'Escherichia_coli_iai1', 'Shigella_flexneri_2a_str_2457t', 'Escherichia_coli_536', 'Escherichia_coli_o157_h7_str_sakai', 'Escherichia_fergusonii_atcc_35469']	60	0.05	60	2215	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.05_cover%_70/	21	['Escherichia_coli_cft073', 'Escherichia_coli_iai39', 'Shigella_dysenteriae_sd197', 'Escherichia_coli_o157_h7_str_sakai', 'Escherichia_coli_str_k_12_substr_mg1655', 'Shigella_sonnei_ss046', 'Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_iai1', 'Escherichia_coli_umn026', 'Escherichia_coli_apec_o1', 'Escherichia_coli_s88', 'Escherichia_coli_ed1a', 'Shigella_flexneri_2a_str_301', 'Escherichia_coli_uti89', 'Shigella_boydii_sb227', 'Escherichia_coli_str_k_12_substr_w3110', 'Shigella_flexneri_5_str_8401', 'Shigella_flexneri_2a_str_2457t', 'Escherichia_coli_55989', 'Escherichia_fergusonii_atcc_35469', 'Escherichia_coli_536']	60	0.05	70	2056	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.05_cover%_80/	21	['Shigella_flexneri_2a_str_301', 'Escherichia_coli_str_k_12_substr_mg1655', 'Escherichia_coli_uti89', 'Shigella_dysenteriae_sd197', 'Shigella_sonnei_ss046', 'Escherichia_coli_str_k_12_substr_w3110', 'Escherichia_coli_55989', 'Escherichia_coli_iai1', 'Shigella_boydii_sb227', 'Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_apec_o1', 'Shigella_flexneri_2a_str_2457t', 'Escherichia_coli_o157_h7_str_sakai', 'Shigella_flexneri_5_str_8401', 'Escherichia_coli_umn026', 'Escherichia_coli_ed1a', 'Escherichia_coli_iai39', 'Escherichia_coli_cft073', 'Escherichia_fergusonii_atcc_35469', 'Escherichia_coli_536', 'Escherichia_coli_s88']	60	0.05	80	1907	
/Users/Chanco/Desktop/AgroParisTech/3A/AMI2B/Genomique_comparee/full_pipeline/Analyses/nb_genomes_21_id%_60_ev_0.05_cover%_90/	21	['Escherichia_coli_ed1a', 'Escherichia_coli_55989', 'Shigella_flexneri_5_str_8401', 'Escherichia_coli_536', 'Escherichia_coli_uti89', 'Escherichia_coli_str_k_12_substr_w3110', 'Shigella_boydii_sb227', 'Escherichia_coli_umn026', 'Escherichia_coli_str_k_12_substr_mg1655', 'Escherichia_coli_o157_h7_str_edl933', 'Escherichia_coli_iai1', 'Escherichia_coli_iai39', 'Escherichia_coli_s88', 'Shigella_dysenteriae_sd197', 'Escherichia_coli_o157_h7_str_sakai', 'Escherichia_fergusonii_atcc_35469', 'Escherichia_coli_apec_o1', 'Escherichia_coli_cft073', 'Shigella_flexneri_2a_str_2457t', 'Shigella_flexneri_2a_str_301', 'Shigella_sonnei_ss046']	60	0.05	90	1653	
